receitask,valorpago,usuariosk,calendariosk,enderecosk
3185,29,1924,51,84
860,97,1666,52,32
1437,59,1750,52,17
1582,39,398,52,17
3516,42,441,52,19
3719,2,1373,52,1
1723,7,1578,53,118
3027,72,67,53,17
3413,57,1341,53,78
5729,76,108,53,35
5,64,1967,54,80
1423,66,1079,54,18
1867,58,1229,54,36
1765,69,1999,54,118
2713,84,1476,54,12
3213,53,589,54,23
4005,94,428,54,36
3936,78,1001,54,10
5013,79,1060,54,76
1458,59,1518,55,23
2026,98,807,55,6
2092,97,1363,55,25
5211,99,562,55,33
2413,24,1410,56,3
3756,25,1972,56,28
5315,67,561,56,76
312,66,654,57,20
564,14,676,57,2
2552,46,921,57,17
2472,92,918,57,7
2135,47,76,57,10
3673,55,549,57,4
4587,54,1707,57,10
5091,80,793,57,62
4895,44,1949,57,217
4697,51,1115,57,17
178,32,1258,58,156
9,34,1152,58,42
1311,7,1819,58,2
2504,73,1668,58,100
2734,18,401,58,217
3823,45,1339,58,20
5093,97,1894,58,41
809,65,1729,59,36
1532,3,714,59,33
1633,93,1908,59,78
1551,51,1524,59,41
2994,46,770,59,21
2782,49,966,59,8
3724,39,277,59,134
5586,13,63,59,20
295,20,195,60,25
34,51,1342,60,72
1838,84,1907,60,134
1769,43,1038,60,118
2266,70,1370,60,18
4537,25,1437,60,118
5905,24,1661,60,35
5751,84,213,60,84
991,40,1032,61,72
976,43,566,61,217
1733,23,1543,61,15
2066,91,1509,61,151
2606,50,845,61,2
4847,57,549,61,4
802,100,1208,62,2
698,100,1829,62,33
640,96,1052,62,29
2452,34,1535,62,156
4385,45,880,62,76
5353,81,281,62,17
1798,38,1728,63,22
1572,56,91,63,20
2499,12,1138,63,18
3490,43,1890,63,100
3237,81,1135,63,78
3617,52,1952,63,100
4583,45,1615,63,217
5461,12,612,63,80
5722,89,555,63,11
981,3,887,64,35
1292,27,661,64,14
4242,49,1739,64,7
230,7,1727,65,61
557,80,731,65,28
1213,91,206,65,25
2004,57,1380,65,100
2302,13,1118,65,68
2112,63,1853,65,68
4269,50,1562,65,76
5808,91,515,65,67
1323,27,86,66,75
1808,85,1699,66,125
1804,13,818,66,80
414,85,170,67,39
94,18,1577,67,11
18,43,44,67,18
1010,53,454,67,41
914,58,966,67,8
3032,18,197,67,10
2770,59,373,67,33
5062,100,1832,67,217
4809,34,1241,67,217
5230,17,1582,67,12
2566,90,1369,68,32
4185,66,1795,68,3
4817,49,605,68,23
5804,45,1245,68,17
3753,87,357,69,20
4206,18,170,69,39
4621,32,526,69,17
1459,84,1691,70,35
1980,2,1764,70,8
2351,67,25,70,80
3114,59,893,70,67
4038,75,428,70,36
3770,6,621,70,18
4106,87,765,70,53
708,71,35,71,42
2275,83,1888,71,17
3559,52,1855,71,8
3512,42,39,71,62
3829,33,585,71,1
4421,67,18,71,17
5463,2,1191,71,4
3581,7,1205,72,29
4324,17,682,72,7
4322,93,1420,72,67
4303,17,1519,72,1
5116,19,107,72,28
5451,21,1634,72,8
652,61,1811,73,118
1051,20,180,73,36
2014,51,682,73,7
1955,87,1877,73,78
2054,11,199,73,7
4778,26,106,73,22
5533,22,746,73,12
71,14,1661,74,35
1353,2,618,74,33
2810,8,1192,74,61
3248,34,989,74,62
2963,62,438,75,42
3232,37,295,75,17
3799,71,738,75,217
4239,73,36,75,39
5098,82,239,75,35
4684,53,148,75,19
1380,81,71,76,12
2512,61,1100,76,76
2926,72,1270,76,76
4326,73,1434,76,62
4306,54,1939,76,67
4763,53,131,76,3
4651,13,240,76,53
5875,3,1514,76,68
1682,100,655,77,78
1644,79,1093,77,61
5433,6,418,77,38
1320,2,673,78,217
2031,89,1188,78,33
2515,73,1742,78,118
4010,4,1053,78,28
3853,100,216,78,29
4664,20,650,78,124
5575,62,753,78,124
5229,46,470,78,125
5821,50,120,78,2
1877,62,1923,79,20
1699,37,1211,79,84
2294,51,77,79,39
3529,5,1821,79,15
5159,1,485,79,134
572,97,953,80,3
2483,64,383,80,2
2615,29,1235,80,84
4802,99,735,80,134
4786,15,1815,80,15
5532,27,712,80,125
5666,88,1116,80,36
258,85,1061,81,12
1148,7,1349,81,72
2798,91,194,81,20
2665,76,56,81,67
3746,74,980,81,7
4559,71,17,81,151
5606,87,640,81,75
5824,61,781,81,11
1243,71,253,82,40
3499,53,1974,82,35
5055,78,194,82,20
4943,87,703,82,124
1819,28,198,83,62
3345,10,223,83,62
60,13,292,84,6
1202,67,1321,84,32
2270,24,580,84,7
4055,72,1823,84,28
5482,65,464,84,125
5251,85,1470,84,11
5146,34,358,84,19
40,72,1191,85,4
1698,100,827,85,75
1676,70,1875,85,100
2380,47,1267,85,61
4806,6,350,85,53
456,22,365,86,2
859,31,493,86,36
3916,93,1422,87,76
4565,67,107,87,28
5003,62,679,87,151
5495,29,1670,87,21
5788,29,633,87,125
294,54,1814,88,118
1608,39,1234,88,125
5759,50,369,88,12
645,57,1278,89,118
3524,12,1234,89,125
5520,56,1744,89,36
5241,99,1550,89,39
5945,28,1513,89,39
489,75,1390,90,32
1340,15,1603,90,35
1076,94,117,90,11
2180,66,1827,90,40
3009,64,1496,90,124
3703,91,485,90,134
4157,27,837,90,80
5067,45,1094,90,72
5693,97,300,90,67
881,42,1847,91,1
1299,12,1507,91,41
2554,11,536,91,33
2680,89,1694,91,125
5657,20,1762,91,72
2363,86,1008,92,39
3062,39,985,92,33
2647,57,476,92,61
4980,28,1597,92,118
4844,59,44,92,18
2584,49,1756,93,68
4791,29,775,93,75
5434,34,213,93,84
690,90,167,94,17
2898,40,1599,94,6
3136,25,1561,94,134
3818,39,983,94,11
5337,17,323,94,21
841,86,457,95,2
1721,35,1748,95,28
2313,100,1454,95,68
2676,5,1265,95,42
2571,59,1989,95,17
3514,94,679,95,151
3642,43,1622,95,25
4219,14,1685,95,68
2957,32,1288,96,28
4796,20,1732,96,8
5787,30,1772,96,21
5770,100,1651,96,38
484,44,5,97,32
2503,73,11,97,11
2932,29,868,97,72
3454,75,1927,97,20
5361,58,722,97,20
828,72,107,98,28
1494,18,1119,98,14
1445,64,759,98,125
4842,85,1009,98,25
285,83,379,99,134
3561,49,1430,99,20
3290,62,226,99,40
3224,39,1344,99,100
5181,44,1776,99,75
1190,97,1492,100,29
2237,23,1851,100,22
3626,47,584,100,76
4949,7,413,100,38
5340,15,1734,100,6
189,33,588,101,53
1506,12,937,101,39
1108,38,371,101,76
1634,91,656,101,75
1377,3,1592,102,22
1360,88,376,102,12
1103,25,23,102,2
3028,61,110,102,18
3257,19,1893,102,17
4081,14,626,102,10
1001,25,1825,103,35
653,10,1154,103,67
1211,74,81,103,156
2110,90,692,103,10
4095,46,758,103,18
3976,91,1693,103,36
424,40,775,104,75
1442,90,603,104,12
1894,24,256,104,23
2648,78,714,104,33
5397,65,1963,104,17
5355,3,1693,104,36
5917,42,1527,104,35
5670,16,1530,104,10
600,5,1652,105,6
1386,16,1371,105,20
1919,20,1178,105,39
4271,33,1823,105,28
4823,54,407,105,23
280,11,746,106,12
1953,74,939,106,1
1546,13,78,106,39
2635,97,1832,106,217
3330,77,1999,106,118
5567,49,1533,106,32
5270,83,1006,106,28
5240,96,633,106,125
304,78,23,107,2
88,86,929,107,36
1990,22,832,107,151
2793,1,1195,107,22
3145,22,626,107,10
5057,54,1495,107,62
4856,81,675,107,1
5375,14,1885,107,42
229,10,1358,108,78
784,12,933,108,14
753,96,1266,108,10
1147,83,1346,108,217
1671,70,1555,108,78
2559,58,370,108,22
3242,24,1040,108,33
4287,97,945,108,29
5619,1,1408,108,32
641,51,68,109,21
1388,73,236,109,1
2103,16,879,109,68
3633,79,564,109,6
1009,12,302,110,3
4947,52,776,110,14
735,4,454,111,41
1983,87,1924,111,84
1760,44,1513,111,39
2659,26,315,111,100
2600,67,887,111,35
3781,54,368,111,32
4827,29,928,111,125
5296,57,18,112,17
5737,43,1547,112,29
776,91,461,113,6
2454,68,779,113,33
4277,58,1397,113,3
5104,54,748,113,100
5988,65,988,113,8
969,12,1330,114,72
712,87,738,114,217
3520,78,1500,114,3
3352,73,457,114,2
5893,38,1057,114,40
5803,97,81,114,156
3399,16,1587,115,25
4659,27,1357,115,1
5193,24,1875,115,100
2013,64,561,116,76
2383,61,1432,116,61
2251,31,195,116,25
3011,4,1069,116,41
4061,12,1405,116,84
4901,26,1216,116,23
5435,61,283,116,40
5350,54,942,116,151
279,96,463,117,1
2043,37,651,117,20
2641,28,990,117,2
3429,4,1017,117,3
3179,30,1434,117,62
3806,49,774,117,40
5016,36,1708,117,12
399,16,1576,118,29
261,59,328,118,6
1362,93,1737,118,156
2426,30,1855,118,8
4756,42,857,118,100
5145,35,105,118,39
785,56,1839,119,1
1391,72,1640,119,18
4865,55,805,119,217
1019,73,836,120,42
1641,85,630,120,39
3849,15,1847,120,1
3742,21,997,120,11
4225,59,24,120,3
5697,49,885,120,28
838,22,1095,121,42
1897,59,1321,121,32
4052,78,1381,121,62
260,71,1174,122,6
1832,29,1891,122,38
3870,82,1850,122,84
5143,87,820,122,17
136,44,488,123,61
2300,82,1530,123,10
3445,88,926,123,67
3419,13,1561,123,134
3334,21,1831,123,29
702,37,1590,124,100
1275,96,241,124,29
2320,17,1014,124,20
4059,57,1507,124,41
4050,67,1834,124,84
5705,57,1284,125,11
370,31,686,126,68
1505,75,1396,126,8
1975,94,1786,126,124
3116,83,209,126,68
3656,4,1442,126,1
4335,65,1752,126,33
4995,52,136,126,14
310,39,1056,127,35
1041,61,1651,127,38
1903,43,1990,127,2
3295,20,489,127,11
4058,26,1073,127,134
1463,33,1454,128,68
1263,42,925,128,124
2061,92,317,128,125
79,30,962,129,76
1588,18,673,129,217
3901,36,1803,129,15
3722,20,1616,129,41
4724,70,915,129,80
5239,71,34,129,10
1214,89,164,130,25
1167,100,1507,130,41
3082,25,1089,130,42
4321,3,977,130,3
4891,23,1745,130,8
5639,89,950,130,67
2493,92,12,131,15
3571,94,538,131,41
3491,12,574,131,75
3594,36,43,131,33
398,17,1980,132,2
2219,100,1066,132,32
3920,60,124,132,14
3893,87,451,132,29
4553,20,1157,132,28
4398,91,118,132,11
4231,20,1143,132,72
4770,37,1192,132,61
5449,70,128,132,18
157,67,5,133,32
2526,88,736,133,1
3463,32,1812,133,10
3263,5,1091,133,7
4045,16,1270,133,76
3690,67,1283,133,156
5097,63,362,133,23
5076,72,1043,133,12
5256,94,90,133,62
1905,29,967,134,67
2938,85,1998,134,40
3439,93,1140,135,42
4942,67,248,135,125
5644,58,1263,135,53
1945,64,651,136,20
2230,26,942,136,151
3039,51,405,136,8
4329,30,1753,136,61
5505,69,1848,136,20
5896,2,583,136,76
1947,85,1827,137,40
2284,83,395,137,11
3701,83,1540,137,78
4549,80,1130,137,36
5088,13,1061,137,12
5266,20,977,137,3
1822,35,166,138,1
2437,60,1114,138,125
2617,99,971,138,10
5260,32,997,138,11
1331,24,1650,139,156
1717,64,421,139,40
2915,52,1182,139,118
5578,26,251,139,156
293,52,569,140,18
2629,74,537,140,75
3819,21,364,140,7
2859,2,483,141,15
2683,18,896,141,11
844,61,1680,142,3
1547,30,1255,142,28
2062,48,59,142,25
3047,82,775,142,75
4533,96,1655,142,23
4792,17,572,142,39
1441,98,1909,143,124
2494,9,317,143,125
3152,74,329,143,134
5442,9,602,143,75
5986,6,678,143,78
121,78,1849,144,29
967,37,1701,144,20
1657,88,1049,144,80
2455,59,613,144,84
3012,33,1703,144,8
3142,49,635,144,14
4409,14,128,144,18
5005,68,546,144,76
4878,83,1726,144,68
325,99,514,145,125
902,89,101,145,6
1447,23,182,145,100
1600,51,1668,145,100
3155,91,828,145,61
4270,63,1762,145,72
267,3,1950,146,18
4060,36,1999,146,118
4840,84,1463,146,28
1365,18,1882,147,134
2000,77,794,147,11
2368,41,416,147,217
2255,73,1958,147,17
2607,17,1339,147,20
4469,1,1329,147,7
975,73,53,148,18
1743,93,1131,148,3
2976,26,477,148,7
5059,30,1758,148,19
4721,97,1703,148,8
5589,46,1620,148,8
5950,98,14,148,118
3046,60,1992,149,80
2769,15,1585,149,2
4397,71,314,149,80
5475,94,1578,149,118
5813,10,645,149,53
494,82,686,150,68
105,96,971,150,10
1284,97,4,150,14
3435,26,403,150,33
3359,69,7,150,217
3327,34,485,150,134
3721,33,1991,150,23
3702,41,1487,150,20
5628,15,455,150,29
5825,79,581,150,29
879,27,1320,151,29
1826,40,192,151,151
1716,49,280,151,53
1688,19,1386,151,20
2083,79,1065,151,4
4640,62,1412,151,23
472,45,1668,152,100
667,33,360,152,84
1881,63,1588,152,20
5773,67,1675,152,151
462,22,1265,153,42
2574,20,1784,153,38
4525,100,614,153,20
4265,55,83,153,72
754,78,1714,154,10
1146,20,705,154,11
4601,59,862,154,17
4380,23,414,154,75
4608,94,421,154,40
5895,70,260,154,100
464,65,736,155,1
438,42,1501,155,2
2030,34,1050,155,23
2403,33,2,155,124
2871,24,1796,155,39
3577,81,715,155,28
4743,81,648,155,62
1981,19,537,156,75
1922,41,1839,156,1
3030,38,572,156,39
2775,3,953,156,3
3384,69,963,156,124
1387,79,971,157,10
1132,59,1298,157,36
5868,50,140,157,40
218,95,2000,158,6
131,8,1389,158,25
65,72,428,158,36
1704,41,1260,158,11
4064,99,1567,158,29
5323,80,255,158,156
210,76,1944,159,2
970,86,434,159,29
1478,16,1152,159,42
1662,69,627,159,25
1584,30,1632,159,19
2206,87,1193,159,217
2966,74,365,159,2
2885,10,1047,159,29
3990,43,144,159,15
4938,45,919,159,42
5126,100,1428,159,62
423,8,804,160,61
145,56,456,160,2
968,15,1299,160,118
627,37,1672,160,76
2507,62,1209,160,61
3949,46,1933,160,76
5298,16,1804,160,125
3497,88,1884,161,23
3832,20,1463,161,28
4401,2,38,161,35
463,67,1951,162,38
597,64,959,162,41
3312,89,177,162,22
4431,78,1458,162,12
4877,4,463,162,1
482,13,389,163,12
2655,29,1750,163,17
3154,91,1353,163,19
5955,86,643,163,217
1013,6,1921,164,4
1538,59,669,164,19
2636,69,826,164,11
4210,11,625,164,4
2085,27,1159,165,28
2866,6,599,165,61
5610,62,1839,165,1
5791,57,533,165,125
360,89,1979,166,8
351,50,1394,166,62
1143,32,1376,166,17
5318,74,913,166,72
159,37,663,167,76
1241,8,1562,167,76
1997,3,1621,167,8
1703,39,1070,167,39
2475,44,1017,167,3
2366,23,53,167,18
4708,77,223,167,62
5334,83,1704,167,62
570,100,1886,168,21
560,83,1883,168,76
1379,51,112,168,42
3841,64,1531,169,4
3774,60,1466,169,78
4467,100,1900,169,8
1697,1,1148,170,68
2933,68,610,170,124
2856,1,656,170,75
5080,70,197,170,10
4655,13,1524,170,41
5439,96,1371,170,20
502,25,1001,171,10
402,38,1948,171,32
278,19,1049,171,80
1925,90,453,171,84
1549,53,1233,171,217
3464,96,312,171,100
4868,67,1118,171,68
4719,74,1637,171,62
5400,13,897,171,76
1389,54,483,172,15
1772,72,1140,172,42
3458,5,325,172,32
5247,86,1272,172,35
5981,76,219,172,61
5700,43,850,172,6
980,43,1603,173,35
1157,76,943,173,10
1645,79,1208,173,2
2226,31,356,173,76
3778,11,282,173,39
3717,2,1095,173,42
5085,89,144,173,15
5913,52,492,173,156
1681,21,188,174,35
2453,14,1133,174,61
5426,10,1677,174,53
789,47,405,175,8
2666,76,1991,175,23
3987,74,1262,175,118
3839,29,87,175,3
4162,54,1840,175,61
5942,23,1666,175,32
252,12,1422,176,76
3139,53,969,176,11
4296,25,1213,176,25
5816,67,1415,176,19
5708,93,224,176,2
57,73,197,177,10
1522,61,1172,177,124
4190,74,985,177,33
5972,100,801,177,80
263,37,1603,178,35
936,76,1199,178,21
934,47,1096,178,15
889,4,4,178,14
527,87,1687,178,217
1788,37,1186,178,151
3092,10,1692,178,134
3654,38,1815,178,15
4575,87,617,178,2
4560,41,38,178,35
4125,71,1521,178,61
4773,11,712,178,125
890,55,1219,179,217
758,72,34,179,10
1735,4,809,179,2
1725,84,1041,179,35
4728,94,1218,179,151
5476,14,1399,179,67
540,15,187,180,17
1914,35,1130,180,36
3338,36,82,180,53
3977,65,403,180,33
3947,31,1672,180,76
4333,38,992,180,20
5158,64,559,180,21
803,14,1499,181,11
1057,99,1849,181,29
2906,73,67,181,17
2746,22,1096,181,15
347,59,898,182,18
552,33,1335,182,41
1168,24,1272,182,35
2485,27,1444,182,1
3381,44,1786,182,124
5046,44,1711,182,42
1110,76,1312,183,151
3864,61,862,183,17
5086,38,1043,183,12
5259,88,838,183,32
5912,30,455,183,29
1651,98,1331,184,84
2528,86,1822,184,80
2218,39,741,184,100
3423,55,725,184,39
5973,73,1367,184,36
332,91,714,185,33
835,18,450,185,53
2700,45,664,185,36
3317,79,1464,185,36
5857,91,309,185,36
270,12,1614,186,217
1025,9,1904,186,14
2371,79,347,186,84
3493,69,221,186,28
3959,76,686,186,68
4679,76,902,186,76
5879,11,539,186,62
341,6,952,187,62
821,12,416,187,217
780,46,1780,187,12
607,25,1798,187,1
604,63,844,187,35
1501,21,621,187,18
2482,31,1238,187,1
3550,57,55,187,156
4352,42,772,187,28
4879,64,72,187,4
5169,25,1322,187,39
5742,26,1810,187,53
2081,18,1874,188,62
2848,26,2000,188,6
3192,90,823,188,29
3137,42,1105,188,12
4349,94,808,188,61
4279,49,1988,188,35
5376,6,749,188,75
5197,83,1232,188,40
1828,57,1384,189,20
2955,73,301,189,80
4388,85,428,189,36
907,53,1715,190,32
759,32,1516,190,68
2753,87,1436,190,156
840,18,906,191,4
2723,87,919,191,42
4320,29,1374,191,78
249,31,630,192,39
812,26,1274,192,68
1307,68,1891,192,38
3209,66,15,192,28
3803,29,347,192,84
5709,3,4,192,14
791,50,200,193,19
2357,48,439,193,3
2102,15,1320,193,29
2894,7,607,193,41
3554,56,204,193,84
5018,22,71,193,12
300,39,1796,194,39
761,79,586,194,67
677,100,826,194,11
1875,50,558,194,22
2173,97,1371,194,20
3023,40,1069,194,41
5081,79,1680,194,3
2916,76,740,195,217
4292,57,16,195,11
5723,55,1964,195,33
545,49,1432,196,61
3244,26,71,196,12
5226,97,1177,196,42
1253,16,846,197,36
3444,45,1354,197,22
4873,94,1845,197,42
501,82,164,198,25
90,35,1640,198,18
3733,21,1635,198,2
4986,34,768,198,125
5234,51,228,198,4
2143,40,397,199,15
3472,9,1589,199,38
3105,10,646,199,25
3740,21,70,199,3
181,23,1199,200,21
915,60,25,200,80
861,5,1704,200,62
1509,25,1127,200,134
1658,31,1130,200,36
4048,40,1389,200,25
4590,30,1266,200,10
4767,54,1215,200,75
4674,51,1339,200,20
5452,31,1365,200,39
5351,52,223,200,62
5327,86,890,200,10
1859,81,1139,201,75
2435,47,359,201,35
2182,69,623,201,156
3019,52,1489,201,38
3199,53,1678,201,62
3628,36,263,201,17
4727,21,515,201,67
5558,39,207,201,62
5909,25,1652,201,6
806,68,2,202,124
1646,81,1659,202,61
3210,48,1545,202,118
5592,7,945,202,29
655,1,1225,203,20
587,4,1913,204,217
1206,11,607,204,41
2137,78,18,204,17
2962,92,839,204,1
3969,89,770,204,21
3604,26,1830,204,7
4641,33,263,204,17
728,90,1122,205,62
547,66,638,205,29
4204,91,64,205,156
5000,92,1074,205,29
4822,66,1235,205,84
4658,89,199,205,7
5526,32,654,205,20
5253,100,1877,205,78
5148,23,1634,205,8
3258,40,1203,206,100
4129,18,1108,206,39
405,48,1341,207,78
183,63,314,207,80
1482,39,1924,207,84
4031,31,752,207,156
4134,78,512,207,62
14,21,281,208,17
1345,71,140,208,40
2983,25,200,208,19
2818,9,1346,208,217
2657,3,1139,208,75
3622,3,550,208,38
4454,36,956,208,36
4147,23,1478,208,53
5343,82,1067,208,19
5899,91,549,208,4
1256,85,1001,209,10
2757,40,826,209,11
3484,94,695,209,118
3993,17,1720,209,67
4141,63,543,209,35
5367,11,1481,209,20
696,61,780,210,19
1375,67,376,210,12
2468,92,525,210,38
2744,86,685,210,61
3726,64,1892,210,62
5087,79,872,210,25
4775,93,1608,210,33
349,65,386,211,76
952,61,1641,211,35
1467,90,144,211,15
1394,56,1340,211,23
4481,80,225,211,125
5594,89,506,211,68
434,90,899,212,12
89,90,705,212,11
730,3,1335,212,41
674,95,1724,212,42
1249,32,762,212,36
2250,38,1522,212,14
2625,40,1212,212,42
3772,41,516,212,36
5480,66,1512,212,2
2006,15,582,213,25
3250,100,1240,213,7
4004,42,1023,213,25
4395,61,1969,213,67
4746,17,1997,213,12
4614,65,1808,213,118
1014,99,1207,214,25
764,52,1501,214,2
2046,26,30,214,62
2303,65,941,214,134
3002,19,1026,214,42
2913,48,1515,214,4
5985,9,533,214,125
144,24,988,215,8
