filmesk,duracaomin,filmenome,anodelancamento,generonome
61,169,study,1998,either
62,167,agreement,2000,difficult
63,126,foreign,1982,Gênero Desconhecido
64,129,turn,2003,Gênero Desconhecido
65,85,part,1981,Gênero Desconhecido
66,74,offer,2009,lot
67,138,take,2015,Gênero Desconhecido
68,131,strong,2000,Gênero Desconhecido
69,79,federal,1976,Gênero Desconhecido
70,119,movement,1983,Gênero Desconhecido
71,152,everybody,2017,Gênero Desconhecido
72,87,example,1994,Gênero Desconhecido
73,131,hold,1981,single
74,76,quite,1981,month
75,66,push,1978,Gênero Desconhecido
76,76,anything,1972,Gênero Desconhecido
77,94,network,1982,Gênero Desconhecido
78,175,walk,2007,Gênero Desconhecido
79,60,thought,2000,Gênero Desconhecido
80,127,modern,2025,Gênero Desconhecido
81,116,technology,1989,Gênero Desconhecido
82,94,anyone,2011,Gênero Desconhecido
83,81,tough,2002,end
84,96,those,1995,Gênero Desconhecido
85,161,officer,1993,Gênero Desconhecido
86,177,pass,1972,Gênero Desconhecido
87,62,senior,1978,Gênero Desconhecido
88,137,east,1991,Gênero Desconhecido
89,62,decide,2018,Gênero Desconhecido
90,70,instead,2006,Gênero Desconhecido
91,87,establish,1986,region
92,142,court,2020,Gênero Desconhecido
93,113,day,2005,Gênero Desconhecido
94,173,care,1986,Gênero Desconhecido
95,150,laugh,1983,evening
96,151,upon,2016,Gênero Desconhecido
97,178,public,1985,Gênero Desconhecido
98,109,deal,1990,Gênero Desconhecido
99,102,debate,1997,Gênero Desconhecido
100,89,personal,1975,Gênero Desconhecido
101,131,nearly,1987,security
102,179,themselves,2021,different
103,137,option,2015,Gênero Desconhecido
104,130,whether,1973,Gênero Desconhecido
105,141,yourself,2001,Gênero Desconhecido
106,162,value,1974,Gênero Desconhecido
107,61,paper,1982,Gênero Desconhecido
108,112,agent,1989,Gênero Desconhecido
109,112,pull,1970,Gênero Desconhecido
110,106,provide,1973,Gênero Desconhecido
111,77,hotel,1990,Gênero Desconhecido
112,86,however,1981,democratic
113,167,soon,1973,Gênero Desconhecido
114,106,on,2018,change
228,135,can,1998,Gênero Desconhecido
115,89,anyone,2011,Gênero Desconhecido
116,147,control,2006,Gênero Desconhecido
117,141,wall,1999,Gênero Desconhecido
118,139,player,1980,Gênero Desconhecido
119,136,left,2015,Gênero Desconhecido
120,90,others,2025,Gênero Desconhecido
121,110,writer,2025,Gênero Desconhecido
122,97,much,2018,Gênero Desconhecido
123,102,create,1981,Gênero Desconhecido
124,120,indeed,2013,Gênero Desconhecido
125,119,ten,1987,Gênero Desconhecido
126,102,so,2004,Gênero Desconhecido
127,117,pick,2003,Gênero Desconhecido
128,114,ready,1971,Gênero Desconhecido
129,140,system,1994,Gênero Desconhecido
130,89,bed,2007,Gênero Desconhecido
131,164,little,1993,Gênero Desconhecido
132,61,serve,1998,Gênero Desconhecido
133,129,local,1986,Gênero Desconhecido
134,89,me,2015,Gênero Desconhecido
135,126,wear,2021,Gênero Desconhecido
136,174,song,1991,interview
137,94,big,1995,Gênero Desconhecido
138,130,poor,1996,Gênero Desconhecido
139,83,group,2005,Gênero Desconhecido
140,166,fill,2015,Gênero Desconhecido
141,141,throw,2001,Gênero Desconhecido
142,115,plan,1977,Gênero Desconhecido
143,160,total,1999,Gênero Desconhecido
144,158,or,1976,Gênero Desconhecido
145,137,large,1978,Gênero Desconhecido
146,152,place,1970,Gênero Desconhecido
147,149,Mr,1990,Gênero Desconhecido
148,78,day,2010,Gênero Desconhecido
149,93,maintain,1979,tell
150,77,body,2017,Gênero Desconhecido
151,77,scientist,1995,Gênero Desconhecido
152,166,stage,1990,Gênero Desconhecido
153,134,fish,1984,Gênero Desconhecido
154,61,site,2000,Gênero Desconhecido
155,92,start,1986,Gênero Desconhecido
156,77,until,1980,old
157,102,see,1975,Gênero Desconhecido
158,158,clear,2016,Gênero Desconhecido
159,114,area,2024,Gênero Desconhecido
160,117,these,2014,Gênero Desconhecido
161,122,food,2021,cut
162,88,lead,1991,fight
163,109,off,1981,Gênero Desconhecido
164,179,tough,1971,Gênero Desconhecido
165,128,vote,1993,Gênero Desconhecido
166,62,company,1982,Gênero Desconhecido
167,90,hour,1980,Gênero Desconhecido
168,136,firm,1992,Gênero Desconhecido
169,72,mean,2007,Gênero Desconhecido
170,155,evidence,1994,Gênero Desconhecido
171,125,people,1990,Gênero Desconhecido
172,133,middle,1977,Gênero Desconhecido
173,132,year,1988,Gênero Desconhecido
174,110,difference,1981,Gênero Desconhecido
175,66,life,2004,Gênero Desconhecido
176,156,for,1982,Gênero Desconhecido
177,88,from,1992,Gênero Desconhecido
178,102,wife,1996,Gênero Desconhecido
179,104,piece,1981,Gênero Desconhecido
180,68,personal,2011,relationship
181,135,least,2009,Gênero Desconhecido
182,85,become,1994,Gênero Desconhecido
183,119,thought,2023,Gênero Desconhecido
184,169,data,2008,Gênero Desconhecido
185,124,house,2013,Gênero Desconhecido
186,127,administration,1998,Gênero Desconhecido
187,139,choose,2001,can
188,63,receive,1979,Gênero Desconhecido
189,159,few,1980,Gênero Desconhecido
190,172,market,2011,Gênero Desconhecido
191,97,computer,1999,Gênero Desconhecido
192,128,big,1979,Gênero Desconhecido
193,171,growth,1997,Gênero Desconhecido
194,116,tree,1983,Gênero Desconhecido
195,88,big,2001,Gênero Desconhecido
196,166,material,1985,Gênero Desconhecido
197,76,movement,2005,Gênero Desconhecido
198,161,way,2003,Gênero Desconhecido
199,75,value,2007,Gênero Desconhecido
200,164,institution,1990,Gênero Desconhecido
201,180,put,1980,Gênero Desconhecido
202,144,feeling,1975,Gênero Desconhecido
203,66,foreign,1976,Gênero Desconhecido
204,115,happen,2003,Gênero Desconhecido
205,159,summer,2009,Gênero Desconhecido
206,149,against,1970,day
207,62,production,1974,Gênero Desconhecido
208,130,political,2011,Gênero Desconhecido
209,86,ago,2020,Gênero Desconhecido
210,163,government,2018,Gênero Desconhecido
211,112,citizen,1974,Gênero Desconhecido
212,80,no,1988,Gênero Desconhecido
213,112,eat,1998,student
214,60,none,2008,fear
215,122,arrive,2024,Gênero Desconhecido
216,61,world,2014,game
217,81,help,2022,Gênero Desconhecido
218,71,once,2007,Gênero Desconhecido
219,104,gas,1974,behind
220,149,adult,1983,Gênero Desconhecido
221,140,next,2019,Gênero Desconhecido
222,139,direction,2017,Gênero Desconhecido
223,85,treatment,2019,draw
224,80,identify,2003,Gênero Desconhecido
225,138,fall,1995,Gênero Desconhecido
226,135,develop,2010,why
227,105,weight,2020,best
229,91,central,2007,Gênero Desconhecido
230,117,movie,1975,Gênero Desconhecido
231,73,professional,1999,Gênero Desconhecido
232,112,speak,1999,Gênero Desconhecido
233,127,often,1977,Gênero Desconhecido
234,140,more,1983,Gênero Desconhecido
235,175,throw,2024,Gênero Desconhecido
236,84,southern,1979,Gênero Desconhecido
237,65,Democrat,1973,Gênero Desconhecido
238,130,upon,2000,Gênero Desconhecido
239,60,worker,2007,or
240,152,threat,1993,short
241,93,west,1987,Gênero Desconhecido
242,72,upon,1983,nice
243,142,forget,1997,Gênero Desconhecido
244,105,indeed,2013,major
245,144,process,2000,Gênero Desconhecido
246,106,majority,1985,Gênero Desconhecido
247,175,score,2015,Gênero Desconhecido
248,174,any,1972,Gênero Desconhecido
249,132,bed,2011,line
250,82,person,1985,Gênero Desconhecido
251,91,item,1999,Gênero Desconhecido
252,100,art,1987,Gênero Desconhecido
253,128,under,2008,Gênero Desconhecido
254,93,present,1994,Gênero Desconhecido
255,152,lose,2017,Gênero Desconhecido
256,155,price,1989,Gênero Desconhecido
257,106,allow,2000,Gênero Desconhecido
258,102,station,2012,Gênero Desconhecido
259,81,budget,1972,Gênero Desconhecido
260,157,opportunity,2009,Gênero Desconhecido
261,179,party,2018,Gênero Desconhecido
262,169,good,1990,Gênero Desconhecido
263,144,two,1999,Gênero Desconhecido
264,90,dog,1998,part
265,120,long,1987,Gênero Desconhecido
266,131,on,1970,Gênero Desconhecido
267,94,ago,1995,Gênero Desconhecido
268,135,next,1976,few
269,92,here,1992,Gênero Desconhecido
270,177,decade,2018,Gênero Desconhecido
271,102,walk,1986,Gênero Desconhecido
272,129,air,1984,Gênero Desconhecido
273,124,talk,2008,car
274,75,and,2020,Gênero Desconhecido
275,133,probably,2010,Gênero Desconhecido
276,61,none,1993,Gênero Desconhecido
277,168,minute,2012,Gênero Desconhecido
278,118,every,1985,Gênero Desconhecido
279,111,item,1984,Gênero Desconhecido
280,180,deep,2023,Gênero Desconhecido
281,80,son,1982,one
282,104,performance,1979,much
283,127,it,1991,Gênero Desconhecido
284,84,once,1995,Gênero Desconhecido
285,157,seven,1973,bill
286,151,draw,1974,Gênero Desconhecido
287,170,method,1986,Gênero Desconhecido
288,88,until,1975,Gênero Desconhecido
289,170,face,1982,economy
290,139,to,2019,mind
291,175,sure,2018,Gênero Desconhecido
292,105,alone,1999,customer
293,84,politics,1972,Gênero Desconhecido
294,81,where,1989,Gênero Desconhecido
295,87,just,1982,husband
296,167,appear,2018,Gênero Desconhecido
297,89,team,1983,Gênero Desconhecido
298,72,must,1994,Gênero Desconhecido
299,110,every,2023,Gênero Desconhecido
300,60,shoulder,1982,capital
301,87,idea,2012,indicate
302,142,attack,1981,Gênero Desconhecido
303,130,they,1972,knowledge
304,73,majority,2005,Gênero Desconhecido
305,113,enter,1989,avoid
306,101,chance,1982,Gênero Desconhecido
307,123,radio,1976,Gênero Desconhecido
308,72,recent,1976,Gênero Desconhecido
309,75,movie,1983,Gênero Desconhecido
310,153,which,1984,Gênero Desconhecido
311,114,wonder,1974,Gênero Desconhecido
312,69,from,2023,Gênero Desconhecido
313,86,across,2003,Gênero Desconhecido
314,103,region,1980,Gênero Desconhecido
315,101,enjoy,2017,Gênero Desconhecido
316,124,suggest,2017,Gênero Desconhecido
317,69,part,1975,Gênero Desconhecido
318,83,him,2007,Gênero Desconhecido
319,169,form,2014,Gênero Desconhecido
320,124,almost,2017,Gênero Desconhecido
321,122,than,2025,whether
322,134,possible,2011,Gênero Desconhecido
323,84,director,1978,Gênero Desconhecido
324,89,close,2025,Gênero Desconhecido
325,78,with,1978,Gênero Desconhecido
326,90,body,1996,Gênero Desconhecido
327,67,hand,2001,Gênero Desconhecido
328,122,if,2015,Gênero Desconhecido
329,109,start,1995,Gênero Desconhecido
330,116,available,1970,Gênero Desconhecido
331,129,game,2012,Gênero Desconhecido
332,75,floor,2006,Gênero Desconhecido
333,177,ahead,2001,stand
334,111,feel,1998,Gênero Desconhecido
335,91,worry,1993,job
336,156,somebody,2010,table
337,152,effect,2000,Gênero Desconhecido
338,170,image,2011,Gênero Desconhecido
339,140,single,2006,Gênero Desconhecido
340,109,fly,1992,Gênero Desconhecido
341,72,its,1992,Gênero Desconhecido
342,160,task,2003,Gênero Desconhecido
343,102,memory,2005,Gênero Desconhecido
344,77,economy,2025,Gênero Desconhecido
345,93,blue,2022,Gênero Desconhecido
346,133,energy,2018,Gênero Desconhecido
347,111,half,2021,Gênero Desconhecido
348,136,explain,1985,Gênero Desconhecido
349,93,film,1984,Gênero Desconhecido
350,136,her,1993,Gênero Desconhecido
351,159,consumer,1995,Gênero Desconhecido
352,125,life,1983,Gênero Desconhecido
353,72,attention,2013,particular
354,83,structure,2006,Gênero Desconhecido
355,88,condition,2016,Gênero Desconhecido
356,124,executive,2006,Gênero Desconhecido
357,180,why,2014,Gênero Desconhecido
358,75,world,1981,Gênero Desconhecido
359,65,wind,2006,Gênero Desconhecido
360,134,class,1978,they
361,148,affect,1973,Gênero Desconhecido
362,63,tax,2007,Gênero Desconhecido
363,86,light,1975,Gênero Desconhecido
364,134,see,2001,Gênero Desconhecido
365,83,attention,1990,new
366,177,above,2000,Gênero Desconhecido
367,160,worker,2010,wall
368,60,glass,1983,Gênero Desconhecido
369,172,list,1981,Gênero Desconhecido
370,87,attack,2019,station
371,90,east,1977,Gênero Desconhecido
372,99,air,1983,space
373,139,individual,2022,Gênero Desconhecido
374,103,add,2016,computer
375,83,never,1974,Gênero Desconhecido
376,134,recognize,1998,Gênero Desconhecido
377,70,generation,1993,Gênero Desconhecido
378,78,theory,1970,Gênero Desconhecido
379,65,senior,2017,Gênero Desconhecido
380,126,east,1988,Gênero Desconhecido
381,121,assume,1996,Gênero Desconhecido
382,71,stage,1991,Gênero Desconhecido
383,100,gun,1997,Gênero Desconhecido
384,131,politics,1984,goal
385,137,official,2019,wife
386,82,entire,1978,Gênero Desconhecido
387,91,sit,1980,Gênero Desconhecido
388,100,move,2019,Gênero Desconhecido
389,96,major,2013,Gênero Desconhecido
390,151,contain,1996,Gênero Desconhecido
391,83,Mrs,2023,apply
392,149,already,2019,floor
393,161,never,1980,painting
394,141,still,1973,Gênero Desconhecido
395,89,let,1987,Gênero Desconhecido
396,89,skill,2002,Gênero Desconhecido
397,130,theory,2008,Gênero Desconhecido
398,111,inside,1971,Gênero Desconhecido
399,161,pull,1990,store
400,97,people,2007,Gênero Desconhecido
401,136,edge,2006,Gênero Desconhecido
402,146,rest,2015,Gênero Desconhecido
403,100,ten,1982,Gênero Desconhecido
404,143,us,2010,Gênero Desconhecido
405,156,tax,1992,Gênero Desconhecido
406,138,budget,1998,Gênero Desconhecido
407,172,already,1992,Gênero Desconhecido
408,146,reveal,1986,police
409,135,face,1983,Gênero Desconhecido
410,118,a,2024,Gênero Desconhecido
411,89,significant,1991,former
412,125,assume,1995,Gênero Desconhecido
413,93,pay,2023,Gênero Desconhecido
414,178,investment,2012,Gênero Desconhecido
415,108,sea,2006,Gênero Desconhecido
416,157,manage,2023,Gênero Desconhecido
417,164,detail,1983,Gênero Desconhecido
418,120,three,1989,Gênero Desconhecido
419,73,must,2002,Gênero Desconhecido
420,83,attention,1989,Gênero Desconhecido
421,86,career,1985,Gênero Desconhecido
422,117,clearly,1983,Gênero Desconhecido
423,83,true,1979,Gênero Desconhecido
424,153,campaign,1974,Gênero Desconhecido
425,175,surface,2020,Gênero Desconhecido
426,148,student,2001,month
427,131,bill,2020,Gênero Desconhecido
428,88,friend,2024,Gênero Desconhecido
429,129,on,2005,Gênero Desconhecido
430,117,thank,2005,Gênero Desconhecido
431,159,modern,2024,Gênero Desconhecido
432,167,whether,1990,Gênero Desconhecido
433,180,opportunity,1990,during
434,114,agent,1972,Gênero Desconhecido
435,138,few,2008,city
436,141,social,2017,Gênero Desconhecido
437,86,attention,2009,Gênero Desconhecido
438,157,oil,1972,Gênero Desconhecido
439,169,reach,2005,Gênero Desconhecido
440,62,natural,2003,Gênero Desconhecido
441,85,agency,1971,Gênero Desconhecido
442,125,radio,1982,Gênero Desconhecido
443,178,adult,2006,Gênero Desconhecido
444,176,nor,1985,Gênero Desconhecido
445,141,onto,2025,Gênero Desconhecido
446,160,bit,2011,mention
447,108,general,2005,Gênero Desconhecido
448,122,happy,1984,discuss
449,109,quality,2002,member
450,103,Republican,1996,Gênero Desconhecido
451,70,by,2010,Gênero Desconhecido
452,126,meet,2011,Gênero Desconhecido
453,117,must,1979,Gênero Desconhecido
454,142,recently,2001,Gênero Desconhecido
455,63,street,1987,Gênero Desconhecido
456,110,page,1994,Gênero Desconhecido
457,88,bag,2020,Gênero Desconhecido
458,61,apply,2021,Gênero Desconhecido
459,87,pressure,1998,Gênero Desconhecido
460,73,whole,1982,Gênero Desconhecido
461,123,ten,1985,Gênero Desconhecido
462,124,beautiful,2015,Gênero Desconhecido
463,81,stay,1996,Gênero Desconhecido
464,60,hear,2016,exist
465,138,yeah,1979,professional
466,84,effect,1981,Gênero Desconhecido
467,76,bad,2003,near
468,122,rock,2018,Gênero Desconhecido
469,154,kid,2014,Gênero Desconhecido
470,91,take,1979,Gênero Desconhecido
471,69,while,1972,Gênero Desconhecido
472,178,about,2019,peace
473,139,worker,1992,Gênero Desconhecido
474,110,billion,2014,their
475,105,air,2000,Gênero Desconhecido
476,73,address,2001,Gênero Desconhecido
477,148,tell,1991,Gênero Desconhecido
478,155,paper,2005,Gênero Desconhecido
479,86,body,2017,Gênero Desconhecido
480,140,individual,1981,Gênero Desconhecido
481,176,head,2006,Gênero Desconhecido
482,64,certain,2004,Gênero Desconhecido
483,140,interest,2025,Gênero Desconhecido
484,72,describe,1973,Gênero Desconhecido
485,169,mission,1987,between
486,100,nothing,1987,Gênero Desconhecido
487,131,box,2022,Gênero Desconhecido
488,133,base,1982,Gênero Desconhecido
489,153,resource,2017,Gênero Desconhecido
490,93,painting,1984,major
491,106,south,2018,determine
492,97,attorney,2008,Gênero Desconhecido
493,163,meeting,1990,Gênero Desconhecido
494,74,feel,1981,art
495,139,act,2006,Gênero Desconhecido
496,174,fill,2015,room
497,78,song,2016,Gênero Desconhecido
498,110,manage,2004,Gênero Desconhecido
499,149,nor,2019,Gênero Desconhecido
500,179,heavy,1998,Gênero Desconhecido
