avaliacaosk,nota,usuariosk,filmesk,produtorask,calendariosk,enderecosk
6075,5,284,199,6,869,100
9381,3,436,199,6,931,11
2604,2,302,199,6,937,124
1987,5,773,199,6,943,75
18275,1,1802,199,6,981,61
7328,2,367,199,6,1073,67
18712,3,193,199,6,1073,118
4446,3,1947,199,6,1076,72
3286,3,1867,199,6,1076,53
4569,3,683,290,15,1,40
6913,4,606,290,15,33,17
18113,5,1696,290,15,72,29
18752,2,909,290,15,78,72
2141,4,1093,290,15,99,2
7569,2,1997,290,15,154,151
1748,2,1217,290,15,171,35
13525,2,1142,290,15,239,32
9505,4,1035,290,15,308,23
9471,5,923,290,15,394,12
19554,5,455,290,15,458,23
12700,4,886,290,15,568,18
11378,1,144,290,15,586,1
8385,2,34,290,15,590,75
148,4,192,290,15,594,28
1399,5,7,290,15,627,118
5273,5,1480,290,15,642,11
17156,1,514,290,15,660,124
4508,1,399,290,15,697,217
2498,1,401,290,15,772,7
9224,2,438,290,15,792,32
1793,3,820,290,15,793,12
8826,4,1159,290,15,798,125
8331,3,1046,290,15,814,25
18150,5,83,290,15,818,15
7814,4,1347,290,15,841,36
11336,5,935,290,15,851,42
4963,2,288,290,15,868,67
4716,5,1434,290,15,870,42
19546,5,298,290,15,909,78
4869,4,495,290,15,911,36
16770,3,1013,290,15,936,42
19765,5,1816,290,15,991,61
16044,5,29,290,15,995,61
17932,5,1659,290,15,1018,53
14336,4,543,306,21,4,68
1180,3,1704,306,21,49,21
13949,5,396,306,21,58,32
4510,2,852,306,21,74,118
7990,1,1716,306,21,82,23
14881,4,1760,306,21,148,41
5757,2,1081,306,21,165,14
12144,4,670,306,21,185,7
12721,5,1991,306,21,191,84
15255,3,563,306,21,200,2
15154,3,437,306,21,210,39
5213,2,1773,306,21,222,11
4163,4,1695,306,21,224,12
301,4,592,306,21,271,6
16535,5,1900,306,21,278,75
4003,2,1031,306,21,321,61
4066,4,1027,306,21,327,68
14135,4,146,306,21,339,7
15248,2,178,306,21,353,75
5402,4,320,306,21,362,10
11285,4,1960,306,21,373,2
6816,5,1357,306,21,387,11
3639,3,241,306,21,433,118
855,3,1122,306,21,508,75
12026,3,1798,306,21,538,19
16812,3,1090,306,21,560,151
18106,1,1304,306,21,571,118
13097,1,1736,306,21,628,4
879,4,1349,306,21,645,61
18753,3,967,306,21,687,61
15764,2,111,306,21,693,38
4421,5,1023,306,21,711,124
9453,5,1362,306,21,722,17
17971,1,1890,306,21,739,53
15310,1,299,306,21,741,35
2029,2,667,306,21,770,53
565,5,377,306,21,775,11
12055,1,980,306,21,855,21
2989,4,1012,306,21,863,36
17417,3,719,306,21,956,84
18189,4,669,306,21,967,4
7730,3,1145,306,21,990,11
10466,3,1616,306,21,1089,11
7927,4,839,306,21,1089,23
13506,2,1410,370,21,3,29
2269,2,1100,370,21,11,78
1187,1,1068,370,21,20,29
6782,5,870,370,21,28,38
15565,3,10,370,21,52,62
2167,3,1345,370,21,92,20
16884,1,1744,370,21,119,156
13231,3,1405,370,21,119,78
19820,5,110,370,21,133,156
3435,4,451,370,21,164,29
7232,5,587,370,21,166,39
1552,1,1997,370,21,167,151
12391,1,435,370,21,200,124
730,4,1558,370,21,224,118
9363,3,1028,370,21,228,38
19548,5,704,370,21,244,124
16543,4,1989,370,21,268,28
17140,5,591,370,21,276,22
838,5,768,370,21,317,1
9487,1,1349,370,21,350,61
16476,4,580,370,21,382,15
10059,3,156,370,21,418,14
18800,1,1661,370,21,437,14
7264,3,1692,370,21,446,1
1970,4,59,370,21,471,23
10086,2,1240,370,21,481,1
15504,5,161,370,21,495,40
1874,2,1922,370,21,502,11
19499,4,323,370,21,526,75
29,1,938,370,21,553,1
9256,2,454,370,21,566,118
17339,1,1229,370,21,583,4
14762,4,486,370,21,669,10
9630,2,379,370,21,687,1
9134,5,1722,370,21,753,35
6302,3,833,370,21,778,61
7559,2,1146,370,21,840,18
3931,3,578,370,21,842,23
1137,2,726,370,21,922,68
5695,2,381,370,21,974,15
2383,2,1530,370,21,984,14
15891,3,269,370,21,998,20
3634,1,1588,370,21,1039,15
13679,5,1897,370,21,1083,12
18850,4,1957,488,3,2,12
19018,3,1903,488,3,32,7
1634,2,859,488,3,74,41
16608,5,1096,488,3,85,17
1409,5,1526,488,3,137,20
7759,2,1342,488,3,168,19
5971,2,1641,488,3,225,72
6876,2,1908,488,3,228,80
2003,2,1031,488,3,256,61
2530,1,58,488,3,292,33
19339,2,997,488,3,344,3
15859,1,685,488,3,430,118
8459,1,747,488,3,431,118
4486,1,983,488,3,469,62
19356,1,916,488,3,477,22
6417,3,1700,488,3,523,76
11402,1,1611,488,3,594,40
1843,4,962,488,3,633,2
12187,4,648,488,3,636,217
18089,2,1531,488,3,710,6
6170,4,19,488,3,713,100
10949,4,776,488,3,722,18
2421,5,790,488,3,723,84
15518,3,864,488,3,751,3
12122,4,440,488,3,763,41
4487,1,1009,488,3,771,11
12029,5,1730,488,3,789,12
9115,5,1772,488,3,800,62
8093,4,931,488,3,812,68
12564,4,464,488,3,818,67
6455,2,1638,488,3,840,40
6770,2,1317,488,3,870,17
10633,2,398,488,3,908,7
8171,5,740,488,3,919,29
11018,4,732,488,3,940,217
6341,5,92,488,3,945,80
11176,2,165,488,3,972,36
17808,3,1510,488,3,1026,1
17557,3,481,488,3,1027,29
14659,1,1959,488,3,1075,28
15295,3,159,488,3,1079,84
1301,3,1082,488,3,1085,10
15808,5,799,488,3,1090,32
3570,4,1320,50,21,19,68
10804,3,1892,50,21,52,67
3776,3,1643,50,21,55,23
9823,5,1712,50,21,104,21
5785,5,317,50,21,167,19
612,1,691,50,21,179,32
18196,2,1450,50,21,264,29
11799,2,859,50,21,367,41
7330,4,853,50,21,400,19
7271,2,824,50,21,402,35
665,5,1983,50,21,405,12
17456,4,683,50,21,411,40
3627,5,1176,50,21,416,41
18778,3,1852,50,21,439,156
15553,1,1968,50,21,440,124
11122,1,417,50,21,453,72
12668,1,184,50,21,456,7
6397,5,1429,50,21,478,4
12577,1,190,50,21,481,19
10217,4,1028,50,21,494,38
9655,2,1696,50,21,578,29
12979,3,871,50,21,585,28
16709,4,888,50,21,606,1
7262,3,1630,50,21,655,125
11576,1,1490,50,21,698,75
1676,1,1977,50,21,722,217
1475,5,588,50,21,729,14
10377,3,757,50,21,738,78
11293,5,1703,50,21,750,21
13967,5,577,50,21,750,12
13702,3,102,50,21,752,62
10442,2,1900,50,21,755,75
11199,3,1232,50,21,766,151
19951,3,425,50,21,776,124
19372,1,1766,50,21,804,42
5723,5,400,50,21,810,125
984,5,1475,50,21,826,6
12612,4,426,50,21,853,7
10071,3,854,50,21,892,4
3871,4,1201,50,21,913,62
17367,5,550,50,21,981,15
12646,3,1651,50,21,996,35
3414,1,404,50,21,1051,118
8691,5,1888,107,21,14,28
18018,5,1295,107,21,48,76
208,2,1041,107,21,80,7
9068,1,1467,107,21,103,28
5285,1,834,107,21,137,118
4220,3,1960,107,21,141,2
1531,5,1421,107,21,151,118
19801,1,419,107,21,202,33
3504,5,485,107,21,219,7
1517,2,539,107,21,244,20
9411,3,1616,107,21,245,11
10031,2,286,107,21,280,35
9112,2,200,107,21,282,39
19855,1,118,107,21,367,67
11704,3,1012,107,21,418,36
14476,1,814,107,21,437,75
2273,4,14,107,21,438,100
7534,2,191,107,21,440,4
16877,3,1087,107,21,448,125
11260,1,963,107,21,451,12
10044,5,1815,107,21,453,3
13156,3,1411,107,21,476,28
10270,1,1169,107,21,487,7
18393,1,1125,107,21,503,39
215,4,1326,107,21,519,118
19704,4,537,107,21,553,1
9297,5,1198,107,21,555,8
12242,2,1874,107,21,678,61
8527,4,1310,107,21,722,28
16265,4,1883,107,21,724,151
19487,2,672,107,21,762,75
17228,2,628,107,21,764,62
9000,5,1598,107,21,774,53
11991,2,914,107,21,795,53
16946,3,1998,107,21,837,14
15006,1,1602,107,21,868,17
16121,3,317,107,21,876,19
1936,5,1996,107,21,901,125
6030,5,1329,107,21,922,19
13541,4,1558,107,21,942,118
6571,2,1184,107,21,945,100
15673,1,234,107,21,951,1
2547,2,793,107,21,963,7
1582,1,1615,107,21,979,35
17067,5,340,107,21,983,67
11705,4,1931,107,21,1005,80
16694,5,783,107,21,1028,134
16959,5,1529,107,21,1048,67
8018,2,1110,107,21,1086,118
7491,3,1485,107,21,1091,134
4513,3,1659,112,9,15,53
8176,1,412,112,9,48,35
18843,1,139,112,9,49,62
111,1,1047,112,9,57,22
17850,4,820,112,9,77,12
12132,3,1634,112,9,133,42
17192,5,840,112,9,156,20
4233,2,1739,112,9,181,72
8466,1,1025,112,9,183,36
5562,5,1911,112,9,198,124
9916,3,452,112,9,212,151
1170,3,25,112,9,224,41
4403,1,602,112,9,249,151
18636,3,940,112,9,281,15
12470,2,1808,112,9,320,29
15169,5,1755,112,9,356,29
6004,3,1717,112,9,365,12
12077,4,719,112,9,365,84
4953,2,10,112,9,419,62
2339,4,75,112,9,422,23
13464,4,1281,112,9,437,53
16527,3,1366,112,9,449,84
6670,2,664,112,9,459,53
12813,1,931,112,9,489,68
17037,2,1703,112,9,525,21
15034,3,1510,112,9,540,1
15596,3,160,112,9,617,14
3758,2,1781,112,9,643,76
17250,3,240,112,9,677,39
8802,1,1187,112,9,697,76
5679,5,1084,112,9,733,8
3078,2,1161,112,9,764,67
12756,2,203,112,9,779,1
11228,3,1320,112,9,836,68
7089,3,235,112,9,899,38
10423,1,592,112,9,979,6
17455,4,826,112,9,1000,14
2634,3,1453,112,9,1033,2
18139,5,1519,112,9,1085,4
17070,1,971,116,11,76,3
15676,3,1193,116,11,77,156
11365,4,271,116,11,100,100
17989,5,1306,116,11,105,134
9393,1,878,116,11,113,20
16621,5,388,116,11,137,32
7203,3,869,116,11,141,100
8375,1,86,116,11,171,15
11747,5,1491,116,11,229,41
3411,2,496,116,11,240,36
5647,3,1120,116,11,312,8
9898,2,1019,116,11,313,21
15803,2,198,116,11,342,42
15362,3,1510,116,11,355,1
14790,1,404,116,11,392,118
17687,3,239,116,11,397,11
1304,3,744,116,11,399,4
15302,2,471,116,11,443,118
11763,3,601,116,11,457,17
16716,2,115,116,11,486,1
8839,1,550,116,11,489,15
14761,3,356,116,11,502,84
16264,4,1469,116,11,611,38
19788,3,854,116,11,640,4
3450,1,1343,116,11,721,80
7009,4,1903,116,11,749,7
2461,4,1184,116,11,763,100
19313,3,1727,116,11,799,7
6450,2,1488,116,11,809,17
18076,1,431,116,11,826,22
17640,2,896,116,11,891,3
6800,1,815,116,11,913,134
13217,4,779,116,11,920,75
6430,2,439,116,11,949,10
14883,1,104,116,11,988,78
14947,4,1551,116,11,990,80
2746,2,31,116,11,996,36
15398,4,243,116,11,1003,36
19408,4,620,116,11,1037,125
2270,5,114,116,11,1040,2
7946,1,1353,116,11,1050,124
14019,5,1485,116,11,1054,134
19502,5,354,122,21,1,11
8729,3,1417,122,21,7,36
7981,1,1485,122,21,8,134
15226,4,595,122,21,11,4
13011,2,1483,122,21,18,36
18790,2,623,122,21,41,32
19956,1,1231,122,21,42,6
11044,1,826,122,21,51,14
5097,2,1936,122,21,62,125
4573,1,1034,122,21,89,42
4027,1,1372,122,21,104,100
7231,5,495,122,21,194,36
3663,4,762,122,21,236,10
9234,4,274,122,21,277,17
4236,3,425,122,21,287,124
15530,1,966,122,21,331,17
566,5,1697,122,21,336,151
14942,4,1461,122,21,336,35
13743,4,600,122,21,373,75
4896,2,644,122,21,394,72
8671,2,45,122,21,422,2
17057,1,1577,122,21,428,76
1703,2,1879,122,21,442,6
16695,1,1655,122,21,455,41
8031,5,562,122,21,521,38
19077,5,1244,122,21,558,61
12654,5,409,122,21,562,29
7468,1,1821,122,21,570,62
18564,5,1043,122,21,636,42
6482,2,576,122,21,637,78
13589,3,1202,122,21,653,42
4218,2,352,122,21,666,33
18434,5,727,122,21,683,20
1923,3,1307,122,21,756,100
3298,5,951,122,21,771,33
10728,1,850,122,21,795,42
18938,4,663,122,21,822,7
9304,2,66,122,21,825,35
5918,5,751,122,21,854,10
7838,3,1285,122,21,942,151
16362,5,866,122,21,943,41
4349,3,440,122,21,944,41
4082,3,1410,122,21,995,29
13799,4,1042,122,21,995,33
18856,5,500,122,21,1022,22
15916,4,1988,122,21,1035,18
11265,4,234,122,21,1058,1
16875,3,257,122,21,1061,18
10388,1,1362,122,21,1080,17
14990,2,595,207,10,62,4
18479,3,1385,207,10,79,100
6857,5,1224,207,10,85,62
19619,3,1008,207,10,95,22
13691,2,1929,207,10,144,40
6332,1,1659,207,10,150,53
17081,2,1784,207,10,189,2
13210,3,1573,207,10,199,78
14109,4,998,207,10,231,72
19171,5,857,207,10,267,62
2567,1,645,207,10,288,39
8295,1,1001,207,10,384,39
15048,3,157,207,10,412,32
10224,5,70,207,10,442,68
2864,3,1345,207,10,486,20
14935,1,1927,207,10,562,42
5455,5,1303,207,10,596,12
5245,5,902,207,10,673,3
19425,2,1730,207,10,702,12
10818,2,986,207,10,735,11
2417,2,516,207,10,737,19
19090,1,554,207,10,758,39
9418,1,1467,207,10,786,28
19763,2,274,207,10,838,17
13867,1,464,207,10,869,67
5364,4,1300,207,10,956,29
3866,3,571,207,10,980,14
965,3,1748,207,10,981,29
7171,4,629,207,10,1002,33
19702,5,1470,207,10,1004,67
18098,5,1219,207,10,1022,20
3582,4,693,207,10,1064,23
119,1,509,207,10,1094,217
3760,2,331,220,21,68,78
9641,4,1908,220,21,195,80
5523,4,1738,220,21,202,29
9617,3,336,220,21,242,20
9829,4,1163,220,21,276,38
7568,1,1974,220,21,277,14
5033,4,1464,220,21,305,124
8436,4,1202,220,21,311,42
13122,2,574,220,21,315,40
19612,1,1539,220,21,326,11
590,3,913,220,21,428,217
14819,1,1415,220,21,444,6
604,3,108,220,21,467,4
16471,1,1717,220,21,481,12
12594,5,657,220,21,483,80
8832,4,1352,220,21,528,33
14537,1,1118,220,21,537,75
7776,3,1558,220,21,667,118
17132,3,492,220,21,679,84
15608,2,899,220,21,681,10
2090,3,481,220,21,684,29
4753,5,95,220,21,702,14
16255,2,1122,220,21,704,75
7741,5,1642,220,21,724,28
13465,1,1046,220,21,833,25
6522,1,924,220,21,913,11
12652,4,1623,220,21,923,32
6850,2,332,220,21,991,156
10032,1,869,220,21,996,100
4391,3,1339,220,21,1004,33
14554,1,644,220,21,1047,72
5725,3,1418,220,21,1094,29
663,5,85,292,4,9,10
3846,4,14,292,4,26,100
6681,3,1876,292,4,51,156
14841,5,1912,292,4,59,118
4947,3,470,292,4,66,62
17413,3,103,292,4,72,156
10269,4,658,292,4,124,19
10787,2,1020,292,4,190,72
2703,1,1217,292,4,198,35
19884,2,576,292,4,205,78
10446,5,1519,292,4,230,4
13374,2,110,292,4,236,156
2504,4,591,292,4,237,22
3383,1,373,292,4,254,61
2631,3,1406,292,4,261,18
7801,1,918,292,4,264,78
14752,2,754,292,4,274,17
8654,4,542,292,4,288,12
16975,2,629,292,4,318,33
4070,3,1603,292,4,337,8
5074,5,1101,292,4,368,124
15669,2,1054,292,4,383,67
761,2,1052,292,4,398,78
2213,4,358,292,4,430,15
6155,3,1197,292,4,455,23
4718,2,1860,292,4,496,23
18886,3,128,292,4,542,29
17909,5,531,292,4,546,21
19969,5,122,292,4,591,76
14137,4,208,292,4,645,25
7649,3,1124,292,4,647,6
708,3,1761,292,4,653,17
611,4,107,292,4,691,61
5083,1,881,292,4,700,124
3603,5,471,292,4,746,118
2186,2,102,292,4,753,62
3257,1,1216,292,4,765,124
17642,5,663,292,4,839,7
7688,2,1219,292,4,846,20
16397,3,222,292,4,945,21
712,2,955,292,4,972,8
15971,5,1651,292,4,1021,35
8894,2,1588,292,4,1026,15
8273,1,1958,292,4,1029,25
4333,2,8,292,4,1062,19
10251,2,798,299,21,3,38
636,1,1192,299,21,8,4
4907,1,403,299,21,26,1
11455,4,1464,299,21,33,124
16997,3,1322,299,21,57,36
17861,1,1406,299,21,64,18
18110,5,1670,299,21,143,35
14970,3,375,299,21,152,40
19906,3,205,299,21,154,20
10635,4,800,299,21,182,23
10534,1,1694,299,21,224,7
13682,4,153,299,21,231,20
8584,2,832,299,21,233,39
19249,2,70,299,21,238,68
3338,4,1400,299,21,247,151
12723,5,1773,299,21,274,11
3844,3,1290,299,21,295,75
3405,1,480,299,21,354,7
16600,5,592,299,21,417,6
18480,5,1509,299,21,470,68
6053,2,496,299,21,494,36
19549,2,615,299,21,610,125
4131,1,896,299,21,655,3
11086,1,734,299,21,728,38
7589,3,1233,299,21,753,2
2348,4,926,299,21,771,6
14246,1,289,299,21,829,21
15071,3,334,299,21,852,29
19535,4,1768,299,21,857,28
1135,4,350,299,21,881,72
3428,3,1467,299,21,890,28
16523,4,546,299,21,922,11
6488,2,551,299,21,935,38
19096,1,59,299,21,946,23
10499,2,1314,299,21,967,39
2727,3,850,299,21,999,42
18544,3,169,299,21,1017,151
15984,5,1534,299,21,1049,125
3240,1,1488,299,21,1053,17
14589,3,1869,299,21,1067,67
10927,4,1254,299,21,1076,156
14390,2,1494,299,21,1089,151
12419,5,1758,299,21,1092,32
9515,2,859,302,20,118,41
8878,2,329,302,20,156,75
17800,3,1905,302,20,270,1
10447,2,302,302,20,354,124
413,5,1587,302,20,359,4
17025,4,1558,302,20,362,118
14117,1,344,302,20,379,53
2946,5,643,302,20,386,84
17401,3,608,302,20,400,124
3649,5,1093,302,20,403,2
15190,3,106,302,20,434,68
19289,2,335,302,20,463,14
6576,4,1456,302,20,469,11
8710,2,7,302,20,558,118
15519,1,1052,302,20,628,78
6930,4,1031,302,20,644,61
4265,3,1802,302,20,647,61
11878,1,1985,302,20,657,124
3321,5,212,302,20,667,7
8146,3,841,302,20,671,124
18516,1,778,302,20,693,15
2690,4,867,302,20,701,38
6107,1,1557,302,20,824,68
3584,4,506,302,20,833,19
5158,5,1286,302,20,836,100
18853,1,1785,302,20,840,100
11504,5,578,302,20,907,23
18689,1,629,302,20,918,33
352,2,429,302,20,926,53
6765,5,921,302,20,936,15
9737,4,830,302,20,956,84
13620,1,725,302,20,990,23
14162,1,380,302,20,1009,12
2734,1,1961,302,20,1019,100
12636,4,230,302,20,1042,4
9331,2,1220,302,20,1052,22
5009,4,1577,302,20,1058,76
9123,1,1095,302,20,1078,19
2413,4,1172,302,20,1081,25
5771,3,1705,302,20,1082,76
16943,5,1926,302,20,1089,15
4847,4,1126,324,21,33,68
1654,1,1927,324,21,34,42
7938,1,1190,324,21,75,6
19824,4,163,324,21,81,62
16845,5,714,324,21,173,76
17888,3,785,324,21,196,156
11547,1,1167,324,21,199,32
7835,2,734,324,21,221,38
12357,1,1265,324,21,238,118
8481,1,423,324,21,304,61
12867,3,972,324,21,340,17
7361,1,1204,324,21,415,80
19112,3,500,324,21,488,22
16744,2,1502,324,21,584,68
17093,4,753,324,21,622,18
15781,1,1215,324,21,636,39
4744,4,1865,324,21,666,23
7819,1,1971,324,21,705,72
2150,2,1084,324,21,728,8
18489,3,1627,324,21,757,39
13339,1,590,324,21,780,32
18829,2,1173,324,21,806,38
16117,3,156,324,21,825,14
1479,4,758,324,21,838,7
13815,3,567,324,21,853,28
7441,4,692,324,21,881,20
5564,5,1209,324,21,951,124
16928,1,751,324,21,1076,10
6131,2,1085,329,19,35,62
15099,4,1064,329,19,59,118
4590,5,986,329,19,72,11
7366,3,573,329,19,75,39
19343,3,1612,329,19,79,151
3238,5,1279,329,19,97,28
542,1,99,329,19,100,10
579,4,1309,329,19,133,35
13959,1,919,329,19,135,19
5124,5,391,329,19,139,32
11445,3,1561,329,19,164,28
534,4,5,329,19,230,14
13168,3,1826,329,19,234,10
12019,4,495,329,19,311,36
3665,1,1971,329,19,327,72
754,5,1665,329,19,362,72
6245,4,1960,329,19,382,2
118,1,1242,329,19,406,125
15141,5,1301,329,19,431,61
5981,5,1563,329,19,444,67
5797,1,1770,329,19,478,25
3385,1,645,329,19,480,39
7319,4,1196,329,19,481,53
4497,2,293,329,19,490,1
4991,2,1786,329,19,536,72
10903,4,1991,329,19,566,84
15036,3,1661,329,19,572,14
18920,5,1097,329,19,575,15
5040,2,97,329,19,702,28
5543,4,1485,329,19,726,134
7639,3,621,329,19,750,75
1069,2,1443,329,19,756,11
4038,3,838,329,19,757,33
14791,3,592,329,19,770,6
10473,5,880,329,19,793,40
6939,1,1834,329,19,795,20
4517,2,768,329,19,804,1
651,3,1997,329,19,815,151
13257,3,858,329,19,829,29
8979,1,566,329,19,851,124
19728,4,370,329,19,853,134
3151,4,1861,329,19,856,217
7410,4,167,329,19,919,4
18680,1,570,329,19,920,41
18541,1,1698,329,19,934,217
2922,5,311,329,19,968,76
1444,5,1940,329,19,974,33
5654,1,875,329,19,988,18
12538,3,814,329,19,1031,75
5476,5,372,329,19,1031,38
19246,4,1703,329,19,1044,21
6547,3,380,329,19,1095,12
14694,1,597,414,21,6,17
19754,2,241,414,21,22,118
4156,3,1635,414,21,73,20
14197,2,1965,414,21,120,76
18100,3,387,414,21,120,62
13504,1,1773,414,21,129,11
1566,3,178,414,21,136,75
2200,4,1396,414,21,151,100
19745,1,1158,414,21,163,35
777,5,1057,414,21,230,1
13931,1,1271,414,21,253,11
5966,3,44,414,21,259,42
836,4,1379,414,21,265,10
5491,4,59,414,21,304,23
11382,1,1482,414,21,316,28
14683,1,1510,414,21,417,1
6789,4,715,414,21,430,11
6877,3,700,414,21,447,25
1407,5,1610,414,21,454,28
4801,5,378,414,21,490,28
9843,5,1859,414,21,510,41
8568,1,960,414,21,515,217
9475,1,83,414,21,566,15
7853,5,285,414,21,629,217
8760,2,306,414,21,632,7
3548,5,1147,414,21,643,17
16856,2,1090,414,21,716,151
1454,5,157,414,21,716,32
13405,3,867,414,21,732,38
12402,2,243,414,21,742,36
17028,5,1895,414,21,776,38
9649,2,1850,414,21,798,80
15543,1,25,414,21,926,41
13671,1,410,414,21,986,25
11103,3,391,414,21,993,32
11361,5,1660,414,21,997,40
1391,3,949,414,21,1027,15
13847,4,323,414,21,1036,75
14929,3,905,414,21,1039,151
9893,4,1825,414,21,1066,14
750,5,1731,414,21,1088,10
10065,5,1858,417,21,30,41
658,4,287,417,21,47,19
15151,4,1069,417,21,51,217
2917,2,616,417,21,65,3
12290,4,404,417,21,146,118
17348,3,871,417,21,181,28
1439,5,1821,417,21,209,62
2031,2,981,417,21,223,23
1035,2,636,417,21,230,62
7855,3,791,417,21,233,75
2419,4,1972,417,21,237,42
17267,1,574,417,21,285,40
8306,1,1856,417,21,342,75
1884,2,947,417,21,374,67
5081,1,1557,417,21,375,68
5334,4,728,417,21,396,76
14116,2,1435,417,21,426,67
10119,1,183,417,21,491,78
16945,3,1677,417,21,497,4
4503,5,1800,417,21,501,67
13496,5,931,417,21,510,68
17899,3,1322,417,21,515,36
16434,2,260,417,21,533,118
19352,2,1151,417,21,561,36
6275,3,1172,417,21,574,25
2437,2,1878,417,21,591,1
9476,3,1075,417,21,596,68
19994,2,1985,417,21,597,124
8954,1,130,417,21,634,25
6189,4,808,417,21,649,118
4454,3,212,417,21,686,7
4195,2,1514,417,21,739,72
9787,5,288,417,21,741,67
17822,1,986,417,21,841,11
3615,3,1078,417,21,870,217
655,4,1179,417,21,876,42
756,1,154,417,21,918,67
15399,4,1290,417,21,922,75
9914,5,1272,417,21,940,6
18349,5,806,417,21,970,151
19244,1,491,417,21,1031,1
6059,1,1223,417,21,1034,42
2020,3,182,417,21,1081,32
7554,4,1837,417,21,1083,67
13056,4,818,446,2,14,118
16357,5,1643,446,2,38,23
15779,2,1099,446,2,60,28
10407,5,1798,446,2,81,19
16658,5,1414,446,2,87,38
8192,3,1475,446,2,92,6
17763,2,634,446,2,134,62
13904,5,829,446,2,158,14
9765,3,1119,446,2,161,134
6673,2,1136,446,2,166,100
13316,4,672,446,2,282,75
10223,2,285,446,2,293,217
4268,3,1879,446,2,314,6
10567,3,1371,446,2,326,84
13826,5,833,446,2,340,61
15811,3,642,446,2,361,62
654,5,315,446,2,371,42
14256,4,1719,446,2,436,68
6521,3,970,446,2,436,10
7745,3,880,446,2,470,40
7113,2,1448,446,2,535,10
2115,4,826,446,2,585,14
1790,1,1423,446,2,602,124
8746,1,32,446,2,609,15
3176,1,1334,446,2,634,217
3550,5,1349,446,2,647,61
6007,4,1627,446,2,655,39
94,1,1281,446,2,671,53
4,5,1828,446,2,697,1
7558,1,758,446,2,751,7
5247,4,424,446,2,772,61
744,5,647,446,2,814,23
7905,1,1680,446,2,924,39
7985,1,368,446,2,930,40
8024,5,178,446,2,934,75
13631,4,663,446,2,969,7
13469,1,707,446,2,1008,7
3763,5,1696,446,2,1038,29
10137,1,259,446,2,1060,78
2780,2,1463,448,5,9,62
5397,2,834,448,5,11,118
10538,4,597,448,5,16,17
10844,1,1992,448,5,40,8
5501,4,408,448,5,40,68
2781,2,3,448,5,87,39
8352,5,1423,448,5,92,124
2013,1,1326,448,5,102,118
4111,1,1187,448,5,102,76
17742,2,1693,448,5,123,78
10533,1,1006,448,5,151,67
14822,5,636,448,5,171,62
16848,5,250,448,5,259,20
991,2,1662,448,5,333,2
18151,2,1798,448,5,342,19
9917,4,1562,448,5,348,40
16288,5,336,448,5,355,20
19241,2,1452,448,5,362,7
3008,3,388,448,5,367,32
17725,5,1639,448,5,374,75
16985,1,866,448,5,456,41
2330,5,1797,448,5,470,21
7732,5,1290,448,5,502,75
14370,4,1942,448,5,533,36
12939,1,1492,448,5,546,22
8012,1,1848,448,5,569,124
3249,2,1579,448,5,584,76
13545,5,911,448,5,600,25
4729,5,1687,448,5,601,11
19375,3,1001,448,5,608,39
19514,3,1068,448,5,611,29
